scenario_id,shipment_mode,origin_address,destination_address,company_name,package_type,pieces,weight_lb,loading_dock_available,forklift_available,location_type,notes,ground_truth_accessorials
HOSP-001,LTL,"200 W Ocean Blvd, Long Beach, CA 90802","6411 Fannin St, Houston, TX 77030",Memorial Regional Hospital,Pallet,4,1200,False,False,Hospital,Deliver to ICU receiving on the third floor. No loading dock or forklift. Appointment and security check required.,Liftgate Delivery|Limited Access Delivery|Inside Delivery|Appointment Required
HOSP-002,LTL,"15200 Myford Rd, Irvine, CA 92606","4002 Vista Way, Oceanside, CA 92056",Coastal Medical Center,Pallet,2,650,True,True,Hospital,Use the hospital receiving dock on the east side. Schedule delivery within receiving hours.,Limited Access Delivery|Appointment Required
RES-001,LTL,"1600 S Anaheim Blvd, Anaheim, CA 92805","1207 Barton Hills Dr, Austin, TX 78704",John Smith Residence,Pallet,1,950,False,False,Residential,Private residence with no dock or forklift. Driver needs liftgate. Call before arrival.,Liftgate Delivery|Residential Delivery|Appointment Required
RES-002,LTL,"2600 Michelson Dr, Irvine, CA 92612","4821 E Clarendon Ave, Phoenix, AZ 85018",Jane Doe Residence,Box,2,95,False,False,Residential,Deliver to front door. Notify customer 30 minutes before arrival.,Residential Delivery|Appointment Required
WH-001,LTL,"301 E Ocean Blvd, Long Beach, CA 90802","2200 Luna Rd, Carrollton, TX 75006",ABC Distribution Center,Pallet,8,4200,True,True,Warehouse,Standard commercial receiving. Loading dock and forklift available. No appointment required.,
WH-002,LTL,"700 S Flower St, Los Angeles, CA 90017","2755 S Orange Ave, Fresno, CA 93725",Small Parts Warehouse,Crate,2,1500,False,False,Warehouse,Rear receiving area has no dock and no forklift. Receiving staff are available during business hours.,Liftgate Delivery
SCH-001,LTL,"100 Spectrum Center Dr, Irvine, CA 92618","5700 Arlington Ave, Riverside, CA 92504",Lincoln Middle School,Pallet,3,900,False,False,School,Deliver inside the administration building during school hours. Security check and scheduled appointment required.,Liftgate Delivery|Limited Access Delivery|Inside Delivery|Appointment Required
CHR-001,LTL,"2000 E McFadden Ave, Santa Ana, CA 92705","1325 N New Ave, Pasadena, CA 91103",Grace Community Church,Box,5,275,False,False,Church,Deliver inside the church office. Limited weekday receiving hours; call before delivery.,Limited Access Delivery|Inside Delivery|Appointment Required
AIR-001,LTL,"2500 E Airport Dr, Ontario, CA 91761","6040 Avion Dr, Los Angeles, CA 90045",LAX Secure Cargo Facility,Pallet,4,1800,True,True,Airport,Security badge and scheduled delivery window required. Use cargo entrance 4.,Limited Access Delivery|Appointment Required
PORT-001,LTL,"1 Park Plaza, Irvine, CA 92614","1281 Pier G Way, Long Beach, CA 90802",Port Terminal 7,Container,1,900,True,True,Port,Marine terminal delivery. TWIC escort and appointment required at gate.,Limited Access Delivery|Appointment Required
MIL-001,LTL,"937 N Harbor Dr, San Diego, CA 92101","Building 1102, 29 Palms Hwy, Twentynine Palms, CA 92278",Marine Logistics Center,Pallet,6,3200,True,True,Military Base,"Government-issued identification, gate appointment, and escorted access required.",Limited Access Delivery|Appointment Required
MINE-001,LTL,"200 S Virginia St, Reno, NV 89501","1250 Mine Site Rd, Elko, NV 89801",Silver Ridge Mine,Skid,3,2600,False,True,Mine,Remote guarded mine entrance. Restricted receiving hours. Forklift available but no loading dock.,Limited Access Delivery|Appointment Required
RIG-001,LTL,"1000 Main St, Houston, TX 77002","2100 Harborside Dr, Galveston, TX 77550",Platform Bravo Supply Base,Crate,2,1850,False,False,Oil Rig Supply Base,Deliver to marine supply base. No loading dock or forklift. Security clearance and appointment required.,Liftgate Delivery|Limited Access Delivery|Appointment Required
CONST-001,LTL,"633 W 5th St, Los Angeles, CA 90071","7900 District Blvd, Bakersfield, CA 93313",Wind Farm Construction Site,Crate,2,2100,False,False,Construction Site,Active construction job site. No dock or forklift. Call superintendent before arrival.,Liftgate Delivery|Limited Access Delivery|Appointment Required
OFF-001,LTL,"200 Spectrum Center Dr, Irvine, CA 92618","601 S Figueroa St, Suite 1500, Los Angeles, CA 90017",Acme Consulting,Box,4,180,False,False,Office,Deliver to Suite 1500 using the freight elevator. Building security requires an appointment.,Inside Delivery|Appointment Required
STOR-001,LTL,"1601 W Katella Ave, Anaheim, CA 92802","3550 W Flamingo Rd, Las Vegas, NV 89103",SafeBox Storage,Box,10,500,False,False,Storage Facility,Gate code required. Deliver inside storage unit 315. No loading dock or forklift.,Liftgate Delivery|Limited Access Delivery|Inside Delivery|Appointment Required
MIX-001,LTL,"3333 Bristol St, Costa Mesa, CA 92626","1455 Market St, Unit 602, San Francisco, CA 94103",Market Street Studio,Crate,1,450,False,False,Unknown,Mixed-use residential and commercial building. Call consignee to confirm delivery access and time.,Liftgate Delivery|Appointment Required
DC-001,LTL,"4000 Barranca Pkwy, Irvine, CA 92604","4100 E Washington Blvd, Commerce, CA 90023",West Coast Distribution Center,Pallet,12,7600,True,True,Distribution Center,Twenty-four-hour receiving. No appointment required. Use dock door 12.,
FTL-001,FTL,"3400 E Sky Harbor Blvd, Phoenix, AZ 85034","5000 Denver Pkwy, Denver, CO 80216",Rocky Mountain Distribution Center,Pallet,20,18000,True,True,Distribution Center,Standard full-truckload warehouse receiving.,
PARCEL-001,Parcel,"1 Technology Dr, Irvine, CA 92618","814 NE 65th St, Seattle, WA 98115",Northwest Home Office,Box,1,25,False,False,Residential,Leave package at front door.,
MISS-001,LTL,"100 Main St, Irvine, CA 92614",,Unknown Receiver,Pallet,1,700,False,False,Unknown,Destination address is not yet available.,
